,Prediction
0,1
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,0
106,1
107,0
108,0
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,0
202,0
203,0
204,0
205,1
206,1
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,1
232,1
233,0
234,1
235,1
236,0
237,0
238,0
239,1
240,1
241,0
242,0
243,0
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,1
284,0
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,1
303,1
304,1
305,0
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,1
322,1
323,0
324,0
325,1
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,1
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,0
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,1
419,1
420,0
421,0
422,0
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,1
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,0
474,0
475,0
476,1
477,0
478,0
479,0
480,0
481,0
482,1
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,1
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,1
504,1
505,0
506,0
507,0
508,1
509,0
510,1
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,0
519,1
520,1
521,0
522,1
523,0
524,1
525,1
526,0
527,1
528,0
529,0
530,1
531,1
532,1
533,1
534,0
535,1
536,0
537,0
538,0
539,1
540,1
541,0
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,1
553,0
554,1
555,1
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,1
565,1
566,1
567,1
568,1
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,1
579,0
580,0
581,1
582,0
583,0
584,1
585,0
586,1
587,1
588,1
589,0
590,0
591,0
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,0
609,0
610,1
611,0
612,1
613,0
614,1
615,0
616,0
617,0
618,0
619,1
620,1
621,0
622,0
623,0
624,1
625,1
626,0
627,0
628,0
629,0
630,1
631,0
632,1
633,1
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,0
646,1
647,1
648,1
649,1
650,1
651,1
652,0
653,0
654,0
655,1
656,0
657,1
658,1
659,1
660,0
661,0
662,0
663,1
664,0
665,1
666,1
667,0
668,1
669,0
670,1
671,1
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,1
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,1
703,1
704,1
705,1
706,0
707,1
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,0
723,0
724,0
725,1
726,1
727,1
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,1
742,0
743,0
744,0
745,1
746,1
747,0
748,1
749,1
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,1
763,0
764,1
765,1
766,0
767,1
768,1
769,0
770,1
771,0
772,1
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,0
786,0
787,1
788,1
789,0
790,0
791,1
792,0
793,1
794,1
795,0
796,1
797,1
798,0
799,0
800,0
801,0
802,1
803,1
804,0
805,0
806,0
807,0
808,0
809,1
810,0
811,0
